date,dam,precipitation_mm
2020-09-11,Occhito,0.0
2020-09-12,Occhito,0.0
2020-09-13,Occhito,0.0
2020-09-14,Occhito,0.0
2020-09-15,Occhito,0.9
2020-09-16,Occhito,0.0
2020-09-17,Occhito,5.8
2020-09-18,Occhito,0.0
2020-09-19,Occhito,0.0
2020-09-20,Occhito,0.4
2020-09-21,Occhito,0.5
2020-09-22,Occhito,0.1
2020-09-23,Occhito,0.0
2020-09-24,Occhito,0.2
2020-09-25,Occhito,4.3
2020-09-26,Occhito,1.9
2020-09-27,Occhito,25.8
2020-09-28,Occhito,0.2
2020-09-29,Occhito,0.0
2020-09-30,Occhito,0.0
2020-10-01,Occhito,0.0
2020-10-02,Occhito,0.0
2020-10-03,Occhito,0.1
2020-10-04,Occhito,0.1
2020-10-05,Occhito,0.0
2020-10-06,Occhito,0.0
2020-10-07,Occhito,6.4
2020-10-08,Occhito,0.0
2020-10-09,Occhito,0.0
2020-10-10,Occhito,0.0
2020-10-11,Occhito,0.5
2020-10-12,Occhito,9.8
2020-10-13,Occhito,3.4
2020-10-14,Occhito,0.1
2020-10-15,Occhito,6.9
2020-10-16,Occhito,0.0
2020-10-17,Occhito,1.7
2020-10-18,Occhito,1.2
2020-10-19,Occhito,0.0
2020-10-20,Occhito,0.0
2020-10-21,Occhito,0.0
2020-10-22,Occhito,0.0
2020-10-23,Occhito,0.0
2020-10-24,Occhito,9.7
2020-10-25,Occhito,0.0
2020-10-26,Occhito,0.0
2020-10-27,Occhito,0.6
2020-10-28,Occhito,0.9
2020-10-29,Occhito,0.0
2020-10-30,Occhito,0.0
2020-10-31,Occhito,0.0
2020-11-01,Occhito,0.2
2020-11-02,Occhito,0.0
2020-11-03,Occhito,0.0
2020-11-04,Occhito,0.0
2020-11-05,Occhito,0.4
2020-11-06,Occhito,0.9
2020-11-07,Occhito,0.0
2020-11-08,Occhito,0.0
2020-11-09,Occhito,0.0
2020-11-10,Occhito,0.0
2020-11-11,Occhito,0.0
