date,dam,level_m,capacity_m3,level_raw,capacity_raw
2018-02-06,Capacciotti,175.45,14444300,"175,45",14.444.300
2018-02-06,Occhito,180.78,85625080,"180,78",85.625.080
2018-02-06,Osento,438.95,1965000,"438,95",1.965.000
2018-02-07,Capaccio,142.07,6215500,"142,07",6.215.500
2018-02-07,Capacciotti,175.65,14720700,"175,65",14.720.700
2018-02-07,Occhito,181.1,88772600,"181,10",88.772.600
2018-02-07,Osento,438.95,1965000,"438,95",1.965.000
2018-02-08,Capaccio,142.28,6562000,"142,28",6.562.000
2018-02-08,Capacciotti,175.85,14997100,"175,85",14.997.100
2018-02-08,Occhito,181.96,97231560,"181,96",97.231.560
2018-02-08,Osento,439.65,2181000,"439,65",2.181.000
2018-02-09,Capaccio,142.38,6727000,"142,38",6.727.000
2018-02-09,Capacciotti,176.1,15359400,"176,10",15.359.400
2018-02-09,Occhito,182.2,99592200,"182,20",99.592.200
2018-02-09,Osento,439.8,2232000,"439,80",2.232.000
2018-02-10,Capaccio,142.46,6859000,"142,46",6.859.000
2018-02-10,Capacciotti,176.35,15744900,"176,35",15.744.900
2018-02-10,Occhito,182.31,100674160,"182,31",100.674.160
2018-02-10,Osento,439.85,2249000,"439,85",2.249.000
2018-02-11,Capaccio,142.52,6958000,"142,52",6.958.000
2018-02-11,Capacciotti,176.5,15976200,"176,50",15.976.200
2018-02-11,Occhito,182.38,101362680,"182,38",101.362.680
2018-02-11,Osento,439.9,2266000,"439,90",2.266.000
2018-02-12,Capaccio,142.56,7024000,"142,56",7.024.000
2018-02-12,Capacciotti,176.6,16130400,"176,60",16.130.400
2018-02-12,Occhito,182.44,101952840,"182,44",101.952.840
2018-02-12,Osento,439.95,2283000,"439,95",2.283.000
2018-02-13,Capaccio,142.59,7073500,"142,59",7.073.500
2018-02-13,Capacciotti,176.7,16284600,"176,70",16.284.600
2018-02-13,Occhito,182.48,102346280,"182,48",102.346.280
2018-02-13,Osento,440.0,2300000,"440,00",2.300.000
2018-02-14,Capaccio,142.63,7139500,"142,63",7.139.500
2018-02-14,Capacciotti,176.85,16515900,"176,85",16.515.900
2018-02-14,Occhito,182.52,102739720,"182,52",102.739.720
2018-02-14,Osento,440.2,2352000,"440,20",2.352.000
2018-02-15,Capaccio,142.66,7189000,"142,66",7.189.000
2018-02-15,Capacciotti,177.0,16746800,"177,00",16.746.800
2018-02-15,Occhito,182.55,103034800,"182,55",103.034.800
2018-02-15,Osento,440.3,2378000,"440,30",2.378.000
2018-02-16,Capaccio,142.68,7222000,"142,68",7.222.000
2018-02-16,Capacciotti,177.25,17132300,"177,25",17.132.300
2018-02-16,Occhito,182.58,103329880,"182,58",103.329.880
2018-02-16,Osento,440.0,2300000,"440,00",2.300.000
2018-02-17,Capaccio,142.7,7255000,"142,70",7.255.000
2018-02-17,Capacciotti,177.4,17363600,"177,40",17.363.600
2018-02-17,Occhito,182.6,103526600,"182,60",103.526.600
2018-02-17,Osento,440.65,2496000,"440,65",2.496.000
2018-02-18,Capaccio,142.72,7288000,"142,72",7.288.000
2018-02-18,Capacciotti,177.65,17749100,"177,65",17.749.100
2018-02-18,Occhito,182.62,103723320,"182,62",103.723.320
2018-02-18,Osento,440.5,2430000,"440,50",2.430.000
2018-02-19,Capaccio,142.75,7337500,"142,75",7.337.500
2018-02-19,Capacciotti,177.8,17980400,"177,80",17.980.400
2018-02-19,Occhito,182.64,103920040,"182,64",103.920.040
2018-02-19,Osento,440.6,2474000,"440,60",2.474.000
2018-02-20,Capaccio,142.79,7403500,"142,79",7.403.500
2018-02-20,Capacciotti,178.0,18288800,"178,00",18.288.800
2018-02-20,Occhito,182.7,104510200,"182,70",104.510.200
2018-02-20,Osento,440.7,2518000,"440,70",2.518.000
2018-02-21,Capaccio,142.9,7585000,"142,90",7.585.000
2018-02-21,Capacciotti,178.25,18721900,"178,25",18.721.900
2018-02-21,Occhito,182.91,106575760,"182,91",106.575.760
2018-02-21,Osento,441.0,2650000,"441,00",2.650.000
2018-02-22,Capaccio,143.19,8149000,"143,19",8.149.000
2018-02-22,Capacciotti,178.4,18982000,"178,40",18.982.000
2018-02-22,Occhito,183.3,110411800,"183,30",110.411.800
2018-02-22,Osento,441.5,2790000,"441,50",2.790.000
2018-02-23,Capaccio,143.33,8443000,"143,33",8.443.000
2018-02-23,Capacciotti,178.65,19415500,"178,65",19.415.500
2018-02-23,Occhito,183.52,112575720,"183,52",112.575.720
2018-02-23,Osento,441.9,2966000,"441,90",2.966.000
2018-02-24,Capaccio,143.47,8737000,"143,47",8.737.000
2018-02-24,Capacciotti,178.9,19849000,"178,90",19.849.000
2018-02-24,Occhito,183.89,116215040,"183,89",116.215.040
2018-02-24,Osento,442.0,3010000,"442,00",3.010.000
2018-02-25,Capaccio,143.71,9241000,"143,71",9.241.000
2018-02-25,Capacciotti,179.05,20109900,"179,05",20.109.900
2018-02-25,Occhito,184.25,119756000,"184,25",119.756.000
2018-02-25,Osento,442.1,3054000,"442,10",3.054.000
2018-02-26,Capaccio,143.9,9640000,"143,90",9.640.000
2018-02-26,Capacciotti,179.25,20456700,"179,25",20.456.700
2018-02-26,Occhito,184.49,122116640,"184,49",122.116.640
2018-02-26,Osento,442.3,3142000,"442,30",3.142.000
2018-02-27,Capaccio,144.01,9876500,"144,01",9.876.500
2018-02-27,Capacciotti,179.45,20803500,"179,45",20.803.500
2018-02-27,Occhito,184.64,123592040,"184,64",123.592.040
2018-02-27,Osento,443.0,3420000,"443,00",3.420.000
2018-02-28,Capaccio,144.11,10141500,"144,11",10.141.500
2018-02-28,Capacciotti,179.65,21150300,"179,65",21.150.300
2018-02-28,Occhito,184.75,124674000,"184,75",124.674.000
2018-02-28,Osento,443.25,3510000,"443,25",3.510.000
2018-03-01,Capaccio,144.19,10353500,"144,19",10.353.500
2018-03-01,Capacciotti,179.8,21410400,"179,80",21.410.400
2018-03-01,Occhito,184.85,125657600,"184,85",125.657.600
2018-03-01,Osento,443.35,3546000,"443,35",3.546.000
2018-03-02,Capaccio,144.3,10645000,"144,30",10.645.000
2018-03-02,Capacciotti,180.0,21757200,"180,00",21.757.200
2018-03-02,Occhito,185.0,127133000,"185,00",127.133.000
2018-03-02,Osento,443.8,3780000,"443,80",3.780.000
2018-03-03,Capaccio,144.43,10989500,"144,43",10.989.500
2018-03-03,Capacciotti,180.2,22139100,"180,20",22.139.100
2018-03-03,Occhito,185.19,129037940,"185,19",129.037.940
2018-03-03,Osento,443.9,3840000,"443,90",3.840.000
2018-03-04,Capaccio,144.76,11864000,"144,76",11.864.000
2018-03-04,Capacciotti,180.45,22615600,"180,45",22.615.600
2018-03-04,Occhito,185.82,135354320,"185,82",135.354.320
2018-03-04,Osento,444.0,3900000,"444,00",3.900.000
2018-03-05,Capaccio,144.96,12394000,"144,96",12.394.000
2018-03-05,Capacciotti,180.6,22901500,"180,60",22.901.500
2018-03-05,Occhito,186.14,138562640,"186,14",138.562.640
2018-03-05,Osento,444.2,3980000,"444,20",3.980.000
2018-03-06,Capaccio,145.25,13062500,"145,25",13.062.500
2018-03-06,Capacciotti,180.85,23378000,"180,85",23.378.000
2018-03-06,Occhito,186.6,143174600,"186,60",143.174.600
2018-03-06,Osento,444.3,4020000,"444,30",4.020.000
2018-03-07,Capaccio,145.48,13580000,"145,48",13.580.000
2018-03-07,Capacciotti,181.05,23758300,"181,05",23.758.300
2018-03-07,Occhito,187.09,148087340,"187,09",148.087.340
2018-03-07,Osento,444.55,4120000,"444,55",4.120.000
2018-03-08,Capaccio,145.69,14052500,"145,69",14.052.500
2018-03-08,Capacciotti,181.25,24139500,"181,25",24.139.500
2018-03-08,Occhito,187.42,151395920,"187,42",151.395.920
2018-03-08,Osento,444.85,4240000,"444,85",4.240.000
2018-03-09,Capaccio,145.82,14345000,"145,82",14.345.000
2018-03-09,Capacciotti,181.5,24616000,"181,50",24.616.000
2018-03-09,Occhito,187.6,153200600,"187,60",153.200.600
2018-03-09,Osento,445.05,4315000,"445,05",4.315.000
2018-03-10,Capaccio,145.91,14547500,"145,91",14.547.500
2018-03-10,Capacciotti,181.7,24997200,"181,70",24.997.200
2018-03-10,Occhito,187.7,154203200,"187,70",154.203.200
2018-03-10,Osento,445.1,4330000,"445,10",4.330.000
2018-03-11,Capaccio,145.99,14727500,"145,99",14.727.500
2018-03-11,Capacciotti,181.9,25378400,"181,90",25.378.400
2018-03-11,Occhito,187.8,155205800,"187,80",155.205.800
2018-03-11,Osento,445.15,4345000,"445,15",4.345.000
2018-03-12,Capaccio,146.06,14894708,"146,06",14.894.708
2018-03-12,Capacciotti,182.1,25777000,"182,10",25.777.000
2018-03-12,Occhito,187.86,155807360,"187,86",155.807.360
2018-03-12,Osento,445.2,4360000,"445,20",4.360.000
2018-03-13,Capaccio,146.14,15087652,"146,14",15.087.652
2018-03-13,Capacciotti,182.35,26299000,"182,35",26.299.000
2018-03-13,Occhito,187.96,156809960,"187,96",156.809.960
2018-03-13,Osento,445.3,4390000,"445,30",4.390.000
2018-03-14,Capaccio,146.2,15232360,"146,20",15.232.360
2018-03-14,Capacciotti,182.5,26612200,"182,50",26.612.200
2018-03-14,Occhito,188.05,157712300,"188,05",157.712.300
2018-03-14,Osento,445.45,4435000,"445,45",4.435.000
2018-03-15,Capaccio,146.27,15401186,"146,27",15.401.186
2018-03-15,Capacciotti,182.7,27029800,"182,70",27.029.800
2018-03-15,Occhito,188.11,158313860,"188,11",158.313.860
2018-03-15,Osento,445.6,4500000,"445,60",4.500.000
2018-03-16,Capaccio,146.33,15545894,"146,33",15.545.894
2018-03-16,Capacciotti,182.95,27551800,"182,95",27.551.800
2018-03-16,Occhito,188.15,158714900,"188,15",158.714.900
2018-03-16,Osento,445.7,4550000,"445,70",4.550.000
2018-03-17,Capaccio,146.37,15642366,"146,37",15.642.366
2018-03-17,Capacciotti,183.15,27968400,"183,15",27.968.400
2018-03-17,Occhito,188.19,159115940,"188,19",159.115.940
2018-03-17,Osento,445.8,4600000,"445,80",4.600.000
2018-03-18,Capaccio,146.42,15762956,"146,42",15.762.956
2018-03-18,Capacciotti,183.35,28386000,"183,35",28.386.000
2018-03-18,Occhito,188.23,159516980,"188,23",159.516.980
2018-03-18,Osento,445.9,4650000,"445,90",4.650.000
2018-03-19,Capaccio,146.47,15883546,"146,47",15.883.546
2018-03-19,Capacciotti,183.5,28699200,"183,50",28.699.200
2018-03-19,Occhito,188.42,161421920,"188,42",161.421.920
2018-03-19,Osento,446.0,4700000,"446,00",4.700.000
2018-03-20,Capaccio,146.53,16028254,"146,53",16.028.254
2018-03-20,Capacciotti,183.7,29116800,"183,70",29.116.800
2018-03-20,Occhito,188.53,162524780,"188,53",162.524.780
2018-03-20,Osento,446.05,4725000,"446,05",4.725.000
2018-03-21,Capaccio,146.62,16245316,"146,62",16.245.316
